Date,AAPL,AMZN,BMY,CELG,EXC,GM,GOOG,INTC,KO,MMM,MS,MSFT,^GSPC
2015-12-31,99.41410064697266,675.8900146484375,63.544044494628906,119.76000213623047,24.50464630126953,29.316465377807617,758.8800048828125,31.437597274780273,38.572452545166016,138.68006896972656,29.58629035949707,51.699310302734375,2043.93994140625
2016-01-04,99.49910736083984,636.989990234375,61.91825866699219,117.62000274658203,24.681127548217773,28.71307373046875,741.8400268554688,31.0178279876709,38.06965255737305,135.16336059570312,29.27935791015625,51.06563949584961,2012.6600341796875
2016-01-05,97.00572967529297,633.7899780273438,63.13759994506836,117.95999908447266,24.848785400390625,27.95451545715332,742.5800170898438,30.8718204498291,38.20433044433594,135.75254821777344,29.093338012695312,51.29861068725586,2016.7099609375
2016-01-06,95.10736083984375,632.6500244140625,62.029117584228516,116.70999908447266,24.875261306762695,26.954599380493164,743.6199951171875,30.187402725219727,37.99782180786133,133.01832580566406,28.367868423461914,50.36675262451172,1990.260009765625
2016-01-07,91.09339904785156,607.9400024414062,60.31095504760742,111.88999938964844,24.566417694091797,25.851245880126953,726.3900146484375,29.055828094482422,37.36930847167969,129.77780151367188,26.95412826538086,48.614864349365234,1943.0899658203125
2016-01-08,91.5750732421875,607.0499877929688,58.77754592895508,108.9800033569336,24.548763275146484,25.454727172851562,714.469970703125,28.754684448242188,37.27054214477539,129.33592224121094,26.396068572998047,48.76396179199219,1922.030029296875
2016-01-11,93.05786895751953,617.739990234375,58.177120208740234,103.02999877929688,24.760541915893555,26.075363159179688,716.030029296875,29.256591796875,37.33340072631836,129.3083038330078,26.470478057861328,48.736000061035156,1923.6700439453125
2016-01-12,94.408447265625,617.8900146484375,58.60203552246094,106.8499984741211,24.65465545654297,26.11846351623535,726.0700073242188,29.82237434387207,37.8182487487793,129.6765594482422,26.470478057861328,49.18329620361328,1938.6800537109375
2016-01-13,91.98119354248047,581.8099975585938,56.60676193237305,100.66999816894531,24.30168914794922,26.282245635986328,700.5599975585938,29.11971092224121,37.57582092285156,127.70642852783203,25.01022720336914,48.1209831237793,1890.280029296875
2016-01-14,93.99288940429688,593.0,58.666690826416016,105.62000274658203,24.6281795501709,26.11846351623535,714.719970703125,29.877132415771484,37.60275650024414,129.97109985351562,25.252050399780273,49.490814208984375,1921.8399658203125
